Product Name,Price,Product URL
Infinix Smart 10 4GB+64GB - PTA APPROVED,"Rs. 27,198",https://www.daraz.pk/products/infinix-smart-10-4gb64gb-pta-approved-i916143674.html
DIGIT PLAY Smart Phone - 6.1 inch Bigger Screen - Ram 3GB - Rom 32GB,"Rs. 11,800",https://www.daraz.pk/products/digit-play-smart-phone-61-inch-bigger-screen-ram-3gb-rom-32gb-i405483570.html
Samsung Galaxy A07 4GB+128GB - PTA APPROVED,"Rs. 31,799",https://www.daraz.pk/products/samsung-galaxy-a07-4gb128gb-pta-approved-i924759919.html
Samsung Galaxy A07 4GB+64GB - PTA APPROVED,"Rs. 27,599",https://www.daraz.pk/products/samsung-galaxy-a07-4gb64gb-pta-approved-i924758885.html
Tecno SPARK 40 6GB+128GB PTA APPROVED,"Rs. 39,797",https://www.daraz.pk/products/tecno-spark-40-6gb128gb-pta-approved-i916086724.html
Tecno Spark GO 3 4/64,"Rs. 26,797",https://www.daraz.pk/products/tecno-spark-go-3-464-i1948224278.html
Redmi A5 4 GB RAM ROM 64 Non Scanned - Non Active - PTA APPROVED,"Rs. 25,199",https://www.daraz.pk/products/redmi-a5-4-gb-ram-rom-64-non-scanned-non-active-pta-approved-i801532292.html
Redmi A5 4GB+128GB - PTA APPROVED,"Rs. 30,999",https://www.daraz.pk/products/redmi-a5-4gb128gb-pta-approved-i932541571.html
Redmi 15C 6GB +128GB - PTA APPROVED,"Rs. 35,799",https://www.daraz.pk/products/redmi-15c-6gb-128gb-pta-approved-i923162414.html
Infinix Hot 60i 6GB+128GB PTA APPROVED,"Rs. 39,696",https://www.daraz.pk/products/infinix-hot-60i-6gb128gb-pta-approved-i916102582.html
Redmi 15C 4GB +128GB - PTA APPROVED,"Rs. 33,499",https://www.daraz.pk/products/redmi-15c-4gb-128gb-pta-approved-i923138689.html
Redmi Note 14 8GB RAM + 256 GB ROM Non Scanned - Non Active - PTA APPROVED,"Rs. 59,999",https://www.daraz.pk/products/redmi-note-14-8gb-ram-256-gb-rom-non-scanned-non-active-pta-approved-i671366617.html
Tecno Spark GO 3 4/128,"Rs. 29,797",https://www.daraz.pk/products/tecno-spark-go-3-4128-i1948065372.html
Infinix Hot 60 Pro Plus 8GB+256GB PTA APPROVED,"Rs. 61,496",https://www.daraz.pk/products/infinix-hot-60-pro-plus-8gb256gb-pta-approved-i916094949.html
Xiaomi POCO C85,"Rs. 42,699",https://www.daraz.pk/products/xiaomi-poco-c85-i1949186689.html
"Vivo Y66 | Dual Sim | PTA Approve | 4GB Ram 64GB Storage | Long Lasting 3000 MAH Battery | Memory Card Suppirt | Vivo Box , Charger Sim Injector Tool & Phone | Vivo Mobile | Mobile Phone On Easy Installment | Whatsapp , Youtube Facebook & Tiktok Working","Rs. 17,395",https://www.daraz.pk/products/66-4-64-3000-i1950750341.html
Y6 pro 2019 mobile doul sim 3/64 without box 100% original,"Rs. 13,999",https://www.daraz.pk/products/y6-2019-364-100-i470709010.html
Nothing Phone Nothing 4a Pro 12+256 - 2 Year Warranty - PTA Approved - Nothing Phone,"Rs. 273,699",https://www.daraz.pk/products/4a-12256-2-i1951871827.html
"Schok Volt SV55 | 2GB Ram 16GB Storage | Andriod Version 11 | Type-C Cable | Non PTA Approve | 3000 MAH Long Lasting Battery | Youtube, Tiktok, FaceBook Working | Amrican Phone | Orginial Stock","Rs. 5,959",https://www.daraz.pk/products/55-2-16-11-3000-i1951132126.html
Redmi Note 15 8GB 256GB,"Rs. 74,999",https://www.daraz.pk/products/redmi-note-15-8gb-256gb-i1949696693.html
"Nothing Phone CMF PHONE 1, 8/128GB - PTA Approved - Nothing Phone","Rs. 75,799",https://www.daraz.pk/products/cmf-1-8128gb-pta-i941757431.html
"Moto G Pure - 6.5 Inches HD+ Display - 3GB RAM + 32GB ROM - SD Card Slot - Original American Stock (Phone + Universal Box, No Charger and Accessories) - NON PTA","Rs. 10,999",https://www.daraz.pk/products/g-65-hd-3gb-32gb-sd-pta-i588832833.html
Motorola | Moto G Stylus 5G 2023 | 128GB Storage | 4GB RAM | Qualcomm SM6450 Snapdragon 6 Gen 1 | 5000 mAh Battery | 50MP Camera | Non PTA Approved | SIM Lock | Mobile Phone,"Rs. 21,000",https://www.daraz.pk/products/5-2023-128-4-qualcomm-sm6450-snapdragon-6-gen-1-5000-50-i1951221734.html
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment","Rs. 28,105",https://www.daraz.pk/products/20-8-128-5000-18-651-13mp-ai-i1950856002.html
Samsung Galaxy A06 - 4GB RAM 64GB ROM 6.7'' HD+ Display 50MP Rear Camera 25W Fast Charging 5000mAh Battery PTA Approved 1 Year Official Brand Warranty,"Rs. 30,980",https://www.daraz.pk/products/a06-hd-50mp-25-67-mah-pta-1-i596449752.html
Samsung Galaxy A07 - 6.7'' Display 4GB RAM 64GB/128GB ROM 50MP Rear Camera 25w Fast Charge 5000mAh Battery PTA Approved 1 Year Official Brand Warranty,"Rs. 31,980",https://www.daraz.pk/products/07-67-4-64-128-50-25-5000-1-i924768099.html
